id,name,type,year,total_earners,male_earners,female_earners,median_earnings,male_median_earnings,male_full_time_median_earnings,female_full_time_median_earnings,female_median_earnings,percent_with_earnings_1_to_9999,percent_with_earnings_10000_to_14999,percent_with_earnings_15000_to_24999,percent_with_earnings_25000_to_34999,percent_with_earnings_35000_to_49999,percent_with_earnings_50000_to_64999,percent_with_earnings_65000_to_74999,percent_with_earnings_75000_to_99999,percent_with_earnings_over_100000,median_earnings_less_than_high_school,median_earnings_high_school,median_earnings_some_college_or_associates,median_earnings_bachelor_degree,median_earnings_graduate_or_professional_degree,ratio_male_earners,ratio_female_earners,ratio_median_male_to_female_earnings,ratio_full_time_median_male_to_female_earnings,ratio_less_than_high_school_to_median,ratio_high_school_to_median,ratio_some_college_or_associates_to_median,ratio_bachelor_to_median,ratio_graduate_to_median,population
0500000US01115,"St. Clair County, Alabama",county,2013,39657,21636,18021,32144,38528,47490,37825,24792,2.1,3.6,13.6,16.8,23.4,18.6,6.1,8.9,7,20698,32740,37366,48889,59444,0.546,0.454,1.554,1.256,0.644,1.019,1.162,1.521,1.849,84521
0500000US01117,"Shelby County, Alabama",county,2013,108655,57693,50962,36976,48471,59107,42168,28914,1.3,2.6,11.3,14.1,18.8,16.1,7.7,12.1,15.9,20318,29728,38627,54431,63407,0.531,0.469,1.676,1.402,0.549,0.804,1.045,1.472,1.715,198366
0500000US01119,"Sumter County, Alabama",county,2013,5486,2616,2870,16793,25046,35289,27146,14386,3.7,8.6,20.5,20.5,24.3,12.2,3.5,4.9,1.8,24135,18464,15853,42338,42986,0.477,0.523,1.741,1.3,1.437,1.1,0.944,2.521,2.56,13552
0500000US01121,"Talladega County, Alabama",county,2013,37180,19643,17537,23392,29529,41120,30084,18522,3.3,5.9,19.6,20.5,20.1,13,6.6,5.8,5.2,18841,24757,28170,39705,55254,0.528,0.472,1.594,1.367,0.805,1.058,1.204,1.697,2.362,81845
0500000US01123,"Tallapoosa County, Alabama",county,2013,18528,9605,8923,25800,27362,36523,31440,24090,2.5,6.7,20.9,22.4,18.1,14.5,5.1,5.1,4.7,21766,24059,30761,43259,53879,0.518,0.482,1.136,1.162,0.844,0.933,1.192,1.677,2.088,41428
0500000US01125,"Tuscaloosa County, Alabama",county,2013,100555,52107,48448,24582,30201,43455,33270,20321,1.7,5.6,18.6,19,20.4,15.2,4.6,7.8,7.1,17437,27238,31949,42285,52587,0.518,0.482,1.486,1.306,0.709,1.108,1.3,1.72,2.139,196824
0500000US01127,"Walker County, Alabama",county,2013,28295,15280,13015,24119,32115,44861,30030,19106,2.6,5.5,20.7,16.9,19.6,16.4,6.7,6.6,5,20938,25951,30748,41309,56553,0.54,0.46,1.681,1.494,0.868,1.076,1.275,1.713,2.345,66622
0500000US01129,"Washington County, Alabama",county,2013,7210,4105,3105,27229,39701,51800,29879,20282,2,4,15.9,17.3,19.9,14.3,10.1,11.6,4.8,24441,30019,30469,39148,55278,0.569,0.431,1.957,1.734,0.898,1.102,1.119,1.438,2.03,17284
0500000US01131,"Wilcox County, Alabama",county,2013,3142,1568,1574,22637,26389,35864,27237,20265,3.6,7.3,18.7,25.3,17.9,8.8,1.5,12.6,4.3,13490,26309,20433,43598,37857,0.499,0.501,1.302,1.317,0.596,1.162,0.903,1.926,1.672,11531
0500000US01133,"Winston County, Alabama",county,2013,10570,5851,4719,21599,25653,37083,26682,18010,2.9,6.3,27.2,19.2,17.8,11.6,4.9,5.2,4.9,16478,21093,28477,47194,51731,0.554,0.446,1.424,1.39,0.763,0.977,1.318,2.185,2.395,24342
